Banca,ROTE,P/BV ,P/E,EPS,EPS Growth,Anno
FinecoBank,0.2338,5.1,23.1,0.67,,2022
Banca Generali,0.2781,3.6,15.1,2.12,,2022
Banca Mediolanum,0.1909,2.0,11.0,0.71,,2022
Mediobanca,0.0886,0.7,7.9,1.05,,2022
Intesa Sanpaolo,0.1,0.7,9.0,0.23,,2022
UniCredit,0.0943,0.4,5.3,2.5,,2022
Banco BPM,0.0694,0.4,7.2,0.46,,2022
FinecoBank,0.3214285714285714,3.8,14.0,0.97,0.4477611940298506,2023
Banca Generali,0.31666666666666665,3.3,12.0,2.8,0.32075471698113195,2023
Banca Mediolanum,0.24675324675324672,1.8,7.7,1.11,0.5633802816901411,2023
Mediobanca,0.11688311688311687,0.8,7.7,1.42,0.35238095238095224,2023
Intesa Sanpaolo,0.15624999999999997,0.8,6.4,0.41,0.7826086956521737,2023
UniCredit,0.1346153846153846,0.7,5.2,4.71,0.884,2023
Banco BPM,0.10344827586206896,0.6,5.8,0.82,0.7826086956521737,2023
FinecoBank,0.35802469135802467,4.3,16.2,1.04,0.07216494845360831,2024
Banca Generali,0.3553719008264463,3.7,12.1,3.7,0.32142857142857156,2024
Banca Mediolanum,0.2894736842105264,2.1,7.6,1.51,0.36036036036036023,2024
Mediobanca,0.12359550561797754,1.0,8.9,1.53,0.07746478873239444,2024
Intesa Sanpaolo,0.18987341772151894,1.2,7.9,0.49,0.19512195121951226,2024
UniCredit,0.1791044776119403,1.0,6.7,5.74,0.21868365180467098,2024
Banco BPM,0.13157894736842105,0.9,7.6,1.03,0.2560975609756099,2024
FinecoBank,0.29743589743589743,5.0,19.5,0.97,-0.06730769230769236,2025
Banca Generali,0.27814569536423844,3.8,15.1,3.13,-0.15405405405405412,2025
Banca Mediolanum,0.22222222222222224,2.8,11.7,1.21,-0.19867549668874174,2025
Mediobanca,0.13333333333333333,1.4,12.0,1.62,0.058823529411764754,2025
Intesa Sanpaolo,0.18681318681318682,1.4,9.1,0.53,0.08163265306122457,2025
UniCredit,0.16666666666666666,1.4,9.0,6.25,0.08885017421602784,2025
Banco BPM,0.1744186046511628,1.1,8.6,1.17,0.1359223300970873,2025
FinecoBank,0.29347826086956524,4.7,18.4,1.02,0.051546391752577365,2026
Banca Generali,0.2671232876712329,3.6,14.6,3.24,0.03514376996805122,2026
Banca Mediolanum,0.20869565217391303,2.6,11.5,1.23,0.016528925619834725,2026
Mediobanca,0.13761467889908255,1.4,10.9,1.76,0.08641975308641969,2026
Intesa Sanpaolo,0.186046511627907,1.3,8.6,0.56,0.05660377358490571,2026
UniCredit,0.16666666666666666,1.3,8.4,6.72,0.07519999999999996,2026
Banco BPM,0.16470588235294117,1.1,8.5,1.19,0.01709401709401711,2026
FinecoBank,0.2899408284023669,4.3,16.9,1.11,0.08823529411764713,2027
Banca Generali,0.2589928057553957,3.4,13.9,3.42,0.05555555555555546,2027
Banca Mediolanum,0.2110091743119266,2.2,10.9,1.29,0.04878048780487809,2027
Mediobanca,0.14285714285714285,1.3,10.5,1.84,0.0454545454545455,2027
Intesa Sanpaolo,0.19753086419753088,1.3,8.1,0.6,0.07142857142857129,2027
UniCredit,0.17105263157894737,1.2,7.6,7.42,0.1041666666666667,2027
Banco BPM,0.1728395061728395,1.1,8.1,1.25,0.05042016806722694,2027
